,Date,ID,URL,Username,Source,Location,text,Num_Of_Likes,Num_Of_Retwwet
876,2022-12-04 00:02:02+00:00,1.59919E+18,https://twitter.com/financialducks/status/1599192266496790528,financialducks,FinDucks PFShare,"New Berlin, Illinois",Review: American Airlines Business Class 777-200 - NYC to Buenos Aires #PFshare via @APurpleLifeBlog https://t.co/Z91bRaVJKq,0,0
877,2022-12-03 20:25:29+00:00,1.59914E+18,https://twitter.com/MarvabluesF1/status/1599137768059596800,MarvabluesF1,Twitter for Android,Indonesia,"Le me at 3AM watching flight review video.
Someone paid this much for business class only to get wafers and water the entire flight. 😅
Glad I haven't flown with this airlines. https://t.co/0HmF7qYE2g",4,0
878,2022-12-03 19:59:43+00:00,1.59913E+18,https://twitter.com/sandraperezc71/status/1599131287242952704,sandraperezc71,Twitter for Android,"Wesley Chapel, FL",@FlyFrontier i am continuing my last post.  I measured it for 3 years in a row and know exactly what to take.  This is an assault and i please request a review of that employee. I even paid for a check logage so is not for that.  Abuse until today my favo,0,0
879,2022-12-03 17:45:45+00:00,1.5991E+18,https://twitter.com/ZacUpchurch/status/1599097572324302848,ZacUpchurch,Twitter for iPhone,"New York, NY","Airlines and/or hotels should mirror @Spotify in producing a year-end review w vitality potential. The locations traveled, number of nights, miles traveled, etc. Could integrate into photos and share photos taken from trips (based on dates). @Delta @AmericanAir @MarriottBonvoy",0,0
880,2022-12-03 16:59:10+00:00,1.59909E+18,https://twitter.com/alieimran99/status/1599085849840586753,alieimran99,Twitter for iPhone,Malaysia,Saya dah siapkan summary review saya berkenaan flight baru my airline ni. Tapi tulah.,0,0
881,2022-12-03 11:23:36+00:00,1.599E+18,https://twitter.com/_______Aisha/status/1599001399190163458,_______Aisha,Twitter Web App,On the road of life... #Mol,@opodo Its a shame that countries and airlines still do business with you after all the bad reviews and stealing money from people. 💩 💩 travel agency,0,0
882,2022-12-03 10:16:41+00:00,1.59898E+18,https://twitter.com/youtripreport/status/1598984561970794497,youtripreport,Twitter Web App,France - Chine,"✈️Flight Review✈️ Un bon vol China Airlines entre Taipei et Singapour en Business Class sur l'A350 + salon.

C'est à lire ici: 
https://t.co/0P6srwGhNY

#AvGeek #paxex #voyage #travel #lifestyle #Food #airport #Ultimate #sunset #airbus https://t.co/UZbBCG2b3d",19,15
883,2022-12-03 09:32:21+00:00,1.59897E+18,https://twitter.com/alanjfowler/status/1598973403591245825,alanjfowler,Twitter Web App,,"@Finnair Here are Finnair's latest review titles in https://t.co/RQDtmIEiAP (the most recent 26 reviews, and 77% of their 606 reviews gave Finnair the lowest score:
1. Very bad customer service
2. Baggage left behind in Amsterdam
3. Worst airline ever
4. ",1,0
884,2022-12-03 09:30:58+00:00,1.59897E+18,https://twitter.com/jajamburger/status/1598973056893874176,jajamburger,Twitter for iPhone,Philippines,"Ok ba ang Saudia? LHR to Manila? Hehe tenksss

Nadidiscourage ako sa review ni @aldousluna 🤣🤣🤣 He’s never flying saudia again hahahaha ang mahal ng SG  airlines ☹️",1,0
885,2022-12-02 19:51:15+00:00,1.59877E+18,https://twitter.com/jorge_tremont/status/1598766767609872384,jorge_tremont,Twitter Web App,,Vintage 1:72 Heller-Humbrol 80315 Douglas DC-6B Cloudmaster Model Kit bo... https://t.co/WZ2XbUx5dl a través de @YouTube #subscribe #heller #modelkit #review #youtuber #youtubechannel #dc6 #airlines #Scandinavian,1,0
886,2022-12-02 19:00:44+00:00,1.59875E+18,https://twitter.com/tournews727/status/1598754054628610048,tournews727,Twitter Web App,Iran,"بررسی: چمدان مونوس در حال حاضر فوق العاده سبک و 40 درصد تخفیف دارد

Review: #Monos Luggage Is Super Light and 40 Percent Off Right Now

https://t.co/ydocHwuLVM

#گردشگری #مسافرت #سفر #جهانگردی 
#tourism #travel #trip #airlines 
#cruise",0,0
887,2022-12-02 17:42:50+00:00,1.59873E+18,https://twitter.com/punkdude21/status/1598734449444675586,punkdude21,Twitter for iPhone,illiNoise,@tifers8 @sorola @BlackBoxDownPod Idk what these are but there was a time last year where YouTube kept recommending this dude who all he would do on his channel was review new airplanes and airlines.  It was def entertaining.,0,0
